# After Rasmussen et al. (2014)																	
# All ages are given in b2k																	
Event	Age	MCE	start fit	stop fit	NGRIP_CFAres	NGRIP_Ca	NGRIP_Dust	NGRIP_lt	NGRIP_NH4	NGRIP_Na	NEEM_CFAres	NEEM_Ca	NEEM_Dust	NEEM_NH4	NEEM_Na	NGRIP_d18Ores	NGRIP_d18O
Holocene	11703	99	250	250	1	1	1	1	0	1	2	1	1	1	1	4	1
GI-1e	14692	186	250	250	1	1	1	1	1	1	2	1	1	1	1	4	1
GI-2.1	23020	583	250	250	2	0	0	0	0	0	3	0	0	0	0	4	0
GI-2.2	23340	596	-25	250	2	0	0	0	0	0	3	0	0	0	0	5	0
GI-3	27780	832	150	250	2	1	1	1	1	1	3	1	1	1	1	5	1
GI-4	28900	898	250	250	2	1	1	1	1	0	3	1	1	1	1	5	1
GI-5.1	30840	1008	150	250	2	1	1	0	1	0	3	1	1	1	0	6	0
GI-5.2	32500	1132	200	250	2	1	1	1	1	1	3	1	1	1	1	6	1
GI-6	33740	1195	250	250	2	1	1	1	1	0	3	1	1	1	1	6	1
GI-7c	35480	1321	250	250	2	1	1	1	0	1	3	1	1	1	0	6	1
GI-8c	38220	1449	250	250	2	1	1	1	1	1	3	1	1	1	1	6	1
GI-9	40160	1580	100	250	2	1	1	1	0	0	3	1	1	1	1	6	1
GI-10	41460	1633	200	250	2	1	1	1	1	1	3	1	1	1	1	6	1
GI-11	43340	1736	250	250	2	1	1	1	1	1	3	1	1	1	1	6	1
GI-12c	46860	1912	250	250	2	1	1	1	1	1	4	1	1	1	1	6	1
GI-13c	49280	2031	150	175	2	1	1	1	0	1	4	1	1	1	1	6	1
GI-14e	54220	2301	175	250	2	1	1	1	0	1	4	1	1	0	1	6	1
GI-15.1	55000	2349	100	250	3	1	1	1	0	1	4	1	1	0	1	6	1
GI-15.2	55800	2391	250	250	3	1	0	1	0	1	4	1	1	1	0	7	1
GI-16.1c	58040	2430	200	100	3	1	1	1	0	0	4	1	1	1	0	7	1
GI-16.2	58280	2511	80	175	3	1	1	1	0	1	4	1	1	1	1	7	1
GI-17.1c	59080	2557	200	150	3	1	1	1	1	1	4	1	1	1	1	7	1
GI-17.2	59440	2573	100	250	3	1	1	1	0	1	4	1	1	1	0	7	1
