# Decadal averaged CFA data for NEEM
# 
# Columns:
# Age_BP : Age of the middle of the sampling interval in years BP (before 1950) on the GICC05 age scale for NEEM (see reference)
# Na : Concentration of Na+ ions in (ng/g)
# Ca : Concentration of Ca++ ions in (ng/g)
#
Age_BP,Na,Ca
10005.00000,11.24240,8.62920
10015.00000,11.30652,10.81795
10025.00000,9.42007,9.31247
10035.00000,10.83370,8.29023
10045.00000,19.35207,10.09421
10055.00000,12.14531,8.96032
10065.00000,8.42953,6.72169
10075.00000,9.58057,8.04179
10085.00000,10.32110,8.63517
10095.00000,13.10128,9.34022
10105.00000,10.78298,9.18076
10115.00000,16.89105,8.46938
10125.00000,13.77990,11.07229
10135.00000,9.71390,6.99974
10145.00000,13.06756,8.63793
10155.00000,8.45276,8.44594
10165.00000,11.21870,12.03675
10175.00000,11.23356,10.81373
10185.00000,12.25625,9.83684
10195.00000,13.57613,11.22776
10205.00000,12.43437,8.87305
10215.00000,11.92850,11.00805
10225.00000,9.36904,9.00752
10235.00000,10.11650,9.38938
10245.00000,12.50978,10.39253
10255.00000,6.50558,9.72239
10265.00000,15.32395,9.20995
10275.00000,11.59848,9.85259
10285.00000,13.04048,11.83596
10295.00000,11.37689,15.87798
10305.00000,7.68364,9.96835
10315.00000,12.75481,11.96767
10325.00000,11.58274,12.34912
10335.00000,11.68091,12.33978
10345.00000,11.36945,8.68471
10355.00000,8.18170,8.56781
10365.00000,11.02190,8.64905
10375.00000,10.08129,10.72494
10385.00000,12.13619,10.12277
10395.00000,13.25431,11.85348
10405.00000,13.88425,8.23258
10415.00000,12.61947,9.85843
10425.00000,11.48410,9.32836
10435.00000,13.30152,10.55330
10445.00000,14.36480,9.96704
10455.00000,10.25506,7.22216
10465.00000,9.53524,8.99755
10475.00000,12.96781,8.71305
10485.00000,9.63949,12.26793
10495.00000,10.41965,9.24194
10505.00000,12.04043,11.44531
10515.00000,10.66359,10.88384
10525.00000,9.65655,7.42395
10535.00000,10.01331,10.92479
10545.00000,13.00059,8.33112
10555.00000,11.41143,11.37885
