# Decadal averaged CFA, water isotope and layerthickness data for NGRIP
# 
# Columns:
# Age_BP : Age of the middle of the sampling interval in years BP on the GICC05 age scale for NGRIP (see reference)
# Na : Concentration of Na+ ions in (ng/g), measured by continuous flow analysis
# Ca : Concentration of Ca++ ions in (ng/g), measured by continuous flow analysis
# lt : Annual layerthickness in (m) as calculated from the age model (see reference)
# d18O : Water isotopic composition in permille relative to VSMOW (see references)
#
# For age model see:
# Svensson, Anders, K K Andersen, Matthias Bigler, H B Clausen, Dorthe Dahl-Jensen, S M Davies, Sigfus J Johnsen, et al. 2008. “A 60 000 Year Greenland Stratigraphic Ice Core Chronology.” Climate of the Past 4 (1): 47–57. doi:10.5194/cp-4-47-2008.
# 
# For water isotope data see:
# NGRIP members. 2004. “High-Resolution Record of Northern Hemisphere Climate Extending into the Last Interglacial Period.” Nature 431 (7005): 147–51. doi:10.1038/nature02805.
# Gkinis, V, S B Simonsen, S L Buchardt, James W C White, and Bo M Vinther. 2014. “Water Isotope Diffusion Rates from the NorthGRIP Ice Core for the Last 16,000 Years - Glaciological and Paleoclimatic Implications.” Earth and Planetary Science Letters 405 (C). 132–41. doi:10.1016/j.epsl.2014.08.022.
#

Age_BP,Na,Ca,lt,d18O
10155.00000,,,0.07700,-36.07000
10165.00000,,,0.06500,-35.77154
10175.00000,,,0.07600,-35.29000
10185.00000,,,0.07600,-35.80667
10195.00000,,,0.07500,-36.47333
10205.00000,,,0.07000,-36.10143
10215.00000,,,0.06600,-36.66308
10225.00000,,21.13617,0.08600,-36.26353
10235.00000,,24.96940,0.07104,-36.31600
10245.00000,15.10556,10.72975,0.06903,-35.65385
10255.00000,17.83961,13.58741,0.07152,-36.78400
10265.00000,13.68187,12.23151,0.07486,-35.19867
10275.00000,22.48561,11.70511,0.07613,-34.50733
10285.00000,18.19220,14.61536,0.07582,-35.91067
10295.00000,14.27069,23.69626,0.06035,-36.48833
10305.00000,17.11456,14.61099,0.07445,-35.85400
10315.00000,14.44587,13.08737,0.07205,-35.87286
10325.00000,13.57737,9.28619,0.06424,-36.51231
10335.00000,16.96708,12.85396,0.06490,-36.16308
10345.00000,15.29173,11.84265,0.07000,-36.51786
10355.00000,14.48559,13.56825,0.06329,-35.95462
10365.00000,17.07554,13.30413,0.06853,-36.05000
10375.00000,15.96599,15.42132,0.07322,-36.34214
10385.00000,17.43058,12.10984,0.06474,-35.83846
10395.00000,18.35513,16.67574,0.06763,-35.48786
10405.00000,16.80831,15.11705,0.06417,-36.67167
10415.00000,16.61963,15.03942,0.06698,-35.69071
10425.00000,13.87055,14.42570,0.06705,-35.38538
10435.00000,16.91190,13.93755,0.06549,-36.79769
10445.00000,17.17887,14.40935,0.07218,-35.84067
10455.00000,17.29919,11.53452,0.06050,-35.26750
10465.00000,16.30280,10.42519,0.07258,-35.67571
10475.00000,18.31601,12.69282,0.06823,-35.24429
10485.00000,17.11805,12.43230,0.06421,-36.28385
10495.00000,14.01136,12.99089,0.06777,-35.76615
10505.00000,14.75109,11.98349,0.06830,-35.89857
10515.00000,13.13222,13.33277,0.06694,-35.65714
10525.00000,12.32705,13.03179,0.06916,-36.33385
10535.00000,18.37935,14.12364,0.06368,-35.87538
10545.00000,21.03915,15.12958,0.07003,-35.93071
10555.00000,17.54781,13.95187,0.06262,-36.50462
10565.00000,16.77144,15.32551,0.06627,-35.74000
10575.00000,15.16368,19.39442,0.06546,-35.80154
10585.00000,15.66099,12.23009,0.06699,-36.45077
10595.00000,16.28707,16.04442,0.06272,-36.57154
10605.00000,16.69972,13.01030,0.06815,-35.65143
10615.00000,16.62607,12.69644,0.07053,-35.39714
10625.00000,16.55688,13.80823,0.06581,-35.71692
10635.00000,,14.79921,0.06712,-35.51000
10645.00000,,18.66294,0.06140,-35.93231
10655.00000,,16.47049,0.07148,-35.72357
10665.00000,,19.57749,0.06207,-36.59417
10675.00000,,20.21284,0.06338,-36.25462
10685.00000,,23.19097,0.06394,-36.57385
10695.00000,,18.67836,0.06378,-36.24250
10705.00000,,17.53043,0.06772,-35.58714
10715.00000,,16.79409,0.06293,-35.81462
10725.00000,,16.02333,0.06534,-36.50769
10735.00000,,13.86799,0.06266,-36.81417
10745.00000,,18.39925,0.05822,-37.03000
10755.00000,,15.62232,0.06003,-35.74583
10765.00000,,15.92531,0.06454,-35.86923
10775.00000,,15.98018,0.06537,-35.79462
10785.00000,,16.58607,0.06208,-37.49583
10795.00000,,16.90844,0.06867,-36.07214
10805.00000,,16.58940,0.06786,-36.06500
10815.00000,,16.18687,0.06426,-37.19417
10825.00000,,12.81148,0.06752,-37.36571
10835.00000,,16.54078,0.06077,-38.15750
